Date,Close/Last,Volume,Open,High,Low
09/25/2023,3.67,53635,3.6955,3.7055,3.649
09/22/2023,3.694,60059,3.691,3.741,3.6855
09/21/2023,3.696,122170,3.741,3.747,3.634
09/20/2023,3.776,49655,3.752,3.7895,3.7385
09/19/2023,3.747,59228,3.78,3.781,3.728
09/18/2023,3.779,47947,3.7975,3.823,3.7655
09/15/2023,3.801,54393,3.8155,3.8515,3.7875
09/14/2023,3.8215,65372,3.785,3.8425,3.778
09/13/2023,3.793,52407,3.791,3.8195,3.7705
09/12/2023,3.792,42557,3.803,3.8135,3.7745
09/11/2023,3.807,64728,3.717,3.808,3.799
09/08/2023,3.7165,64795,3.7605,3.7655,3.7115
09/07/2023,3.762,67564,3.7905,3.793,3.739
09/06/2023,3.786,66154,3.8375,3.8475,3.781
09/05/2023,3.8485,85519,3.855,3.8725,3.794
09/01/2023,3.852,78649,3.833,3.9085,3.829
08/31/2023,3.822,49959,3.8385,3.8465,3.7985
08/30/2023,3.844,54366,3.8395,3.8505,3.812
08/29/2023,3.839,56151,3.8025,3.8445,3.787
08/28/2023,3.792,35651,3.795,3.829,3.78
08/25/2023,3.784,44301,3.789,3.8005,3.7655
08/24/2023,3.7935,34911,3.8365,3.839,3.786
08/23/2023,3.8375,41122,3.79,3.8425,3.7885
08/22/2023,3.7885,41855,3.7565,3.8095,3.7515
08/21/2023,3.7545,27602,3.7525,3.7645,3.7215
08/18/2023,3.7405,19363,3.7225,3.758,3.703
08/17/2023,3.7295,28406,3.686,3.758,3.67
08/16/2023,3.6955,24828,3.6945,3.731,3.6805
08/15/2023,3.7055,28615,3.7585,3.781,3.693
08/14/2023,3.7255,71383,3.7185,3.742,3.687
